,Reactant SMILES,Product SMILES,Solvent SMILES,Additive SMILES,Metal,Ligand SMILES,Catalyst SMILES(RDKit),Pressure/atm,Temperature/C,S/C,Conv.,Yield,ddG,ee,Scaffold type,Multi-scaffold type,Dihedral Tag,Match Pattern,Match Pattern Back,Match Index,Olefin Type,DOI
6462,C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,ClCCl,,Rh,c1ccc(COp2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,1.0,,1.74351924,0.9,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1002/chem.201201032
6468,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,c1ccc(Op2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(Op2([Rh+]p3(Oc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,1.0,,1.02712616,0.7,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/chem.201201032
6469,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,c1ccc(COp2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,1.0,,1.40708549,0.83,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/chem.201201032
9498,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.02582073,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9505,C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.93394597,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9509,COC(=O)/C(=C/c1ccc(F)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(F)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.85428012,0.98,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9513,COC(=O)/C(=C/c1ccccc1Cl)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1Cl)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.24685471,0.96,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9517,COC(=O)/C(=C/c1ccc(Cl)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.72095293,0.98,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9521,COC(=O)/C(=C/c1cccc(Br)c1)NC(C)=O,COC(=O)[C@@H](Cc1cccc(Br)c1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.85428012,0.98,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9525,COC(=O)/C(=C/c1ccc(OC)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.43804514,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
